-- No Theme --,-- Nici o tema --,module,Magento_Config
-- Please Select --,-- Selectati --,module,Magento_Backend
-- Please Select --,-- Selectati --,module,Magento_Catalog
-- Please select --,-- Selectati --,module,Magento_Catalog
-- Please Select --,-- Selectati --,module,Magento_Cms
-- Please Select --,-- Selectati --,module,Magento_Customer
[GLOBAL],[GLOBAL],module,Magento_Config
[GLOBAL],[GLOBAL],module,Magento_Downloadable
[STORE VIEW],[VIZUALIZARE MAGAZIN],module,Magento_Catalog
[STORE VIEW],[VIZUALIZARE MAGAZIN],module,Magento_Config
[STORE VIEW],[VIZUALIZARE MAGAZIN],module,Magento_Downloadable
[WEBSITE],[WEBSITE],module,Magento_Catalog
[WEBSITE],[WEBSITE],module,Magento_Config
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} nu se recomanda folosirea în medii de productie declararea Baza URL Nesigura/ Baza URL sigura. Recomandam schimbarea acestei valori în sistemul dumneavoastra Magento <a href=""%1"">configuration</a>.",module,Magento_AdminNotification
* - Enter custom price excluding tax,* - Introduceti pretul personalizat excluzand taxele,module,Magento_Sales
* - Enter custom price including tax,* - Introduceti pretul personalizat incluzand taxele,module,Magento_Sales
* Required Fields,* Campuri obligatorii,module,Magento_Braintree
* Required Fields,* Campuri obligatorii,module,Magento_Bundle
* Required Fields,* Campuri obligatorii,module,Magento_Catalog
* Required Fields,* Campuri obligatorii,module,Magento_Contact
* Required Fields,* Campuri obligatorii,module,Magento_Customer
* Required Fields,* Campuri obligatorii,module,Magento_Review
* Required Fields,* campuri obligatorii,module,Magento_SendFriend
* Required Fields,* Campuri obligatorii,module,Magento_Wishlist
*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.,*' - se potriveste cu oricare; 'xyz*' - se poriveste cu orice începe cu 'xyz' si nu este mai lung de %1.,module,Magento_Tax
&nbsp;,&nbsp;,module,Magento_Braintree
# of Items (and above),# de articole (si peste),module,Magento_OfflineShipping
